Stage,Procedure,Avg Bribe
Work,Cadastre - 205,2628993.00
University,Car Registration - 87,128511.00
Work,Car Registration - 87,128511.00
Birth,"Certification of Personal Documents (Marriage, Divorce...) - 298",19071.00
Family life,"Certification of Personal Documents (Marriage, Divorce...) - 298",19071.00
Retirement,"Certification of Personal Documents (Marriage, Divorce...) - 298",19071.00
Birth,Civil Register Authentication - 64,48750.00
School,Civil Register Authentication - 64,48750.00
University,Civil Register Authentication - 64,48750.00
Work,Civil Register Authentication - 64,48750.00
Family life,Civil Register Authentication - 64,48750.00
Retirement,Civil Register Authentication - 64,48750.00
Work,Cleaning of Judicial Record - 419,5250000.00
School,Diploma Certification - 36,15000.00
University,Diploma Certification - 36,15000.00
University,Driving Licence - 83,155339.00
University,Driving Licence Replacement - 174,150000.00
Work,Driving Licence Replacement - 174,150000.00
Retirement,Driving Licence Replacement - 174,150000.00
Family life,Electricity Request - 4,223833.00
University,Fines: Parking Ticket - 85,74500.00
Work,Fines: Parking Ticket - 85,74500.00
Family life,Fines: Parking Ticket - 85,74500.00
Birth,Hospital Admission - 71,273333.00
School,Hospital Admission - 71,273333.00
University,Hospital Admission - 71,273333.00
Family life,Hospital Admission - 71,273333.00
Retirement,Hospital Admission - 71,273333.00
Family life,Housing Loan - 124,650000.00
Family life,Housing Permit - 147,10160000.00
Birth,Identity card - 95,1015000.00
School,Identity card - 95,1015000.00
Work,Judicial Record - 96,20000.00
Work,License for Commercial Enterprise - 163,35000.00
University,Mecanique - 84,129647.00
Work,Mecanique - 84,129647.00
Family life,Mecanique - 84,129647.00
Birth,Passport - 97,50000.00
School,Passport - 97,50000.00
Family life,Permit to issue an approval for foreigners' competency licence holders - 472,375000.00
Retirement,Permit to issue an approval for foreigners' competency licence holders - 472,375000.00
Family life,Redemption request a financial guarantee (certificate of deposit) - 312,1500000.00
Retirement,Redemption request a financial guarantee (certificate of deposit) - 312,1500000.00
University,renew the new passport - 275,226667.00
Work,renew the new passport - 275,226667.00
Family life,renew the new passport - 275,226667.00
Retirement,renew the new passport - 275,226667.00
School,Results of Official Examinations - 203,675000.00
Family life,Social Security Family Procedures - 116,1760000.00
Work,Social Security Paperwok - 115,3818333.00
University,Subscription to Lebanese University - 39,155000.00
Family life,Water Request - 44,107500.00
,,35491507.00
